x,y,z,id,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8
0,100,0,0,5.8091877263322e-08,1.1092605457174e-07,4.8464836126024e-08,3.1056221018649e-08,2.1961432236835e-08,2.877241313059e-09,1.1083567285741e-09,1.3967103387191e-10
1,100,0,1,5.8091877263322e-08,1.1092605457174e-07,4.8464836126024e-08,3.1056221018649e-08,2.1961432236835e-08,2.877241313059e-09,1.1083567285741e-09,1.3967103387191e-10
2,100,0,2,8.6858344354355e-08,1.5675321939108e-07,6.7119607109882e-08,4.1511018407644e-08,2.9011166826528e-08,3.7779100955795e-09,1.4510503278112e-09,1.8265318343882e-10
3,100,0,3,1.143686225072e-07,2.0241522969658e-07,8.5808028100095e-08,5.2001218094676e-08,3.6072114957253e-08,4.6781434995987e-09,1.7931165698047e-09,2.2553213048831e-10
4,100,0,4,1.4342893400591e-07,2.5215890689728e-07,1.0613920241023e-07,6.2999930194745e-08,4.3314037653755e-08,5.5883636624889e-09,2.1362447359776e-09,2.6840632021884e-10
5,100,0,5,1.7135198016291e-07,3.0219355283107e-07,1.2688729981858e-07,7.4209594034844e-08,5.0629120769763e-08,6.5019101357107e-09,2.4793396726184e-09,3.112099230587e-10
6,100,0,6,1.9830721709352e-07,3.5242071056225e-07,1.4804997868154e-07,8.5701777388393e-08,5.8052720021756e-08,7.4212734626168e-09,2.822824561825e-09,3.5396666763621e-10
7,100,0,7,2.2388067625085e-07,4.0185449450783e-07,1.6923853798888e-07,9.7379097853147e-08,6.5550492263817e-08,8.3442291209517e-09,3.1663074249431e-09,3.9665078101e-10
8,100,0,8,2.4807389302445e-07,4.5021821227552e-07,1.9031936383307e-07,1.0922141174994e-07,7.3121545846376e-08,9.2709061930216e-09,3.5098095895692e-09,4.3926133306593e-10
9,100,0,9,2.7083114291316e-07,4.9717216266365e-07,2.111261044966e-07,1.2117834984661e-07,8.0749744805897e-08,1.0200283704972e-08,3.8531369122073e-09,4.8178368288729e-10
10,100,0,10,2.9218327297603e-07,5.4254325162622e-07,2.3155545977155e-07,1.3321756139512e-07,8.8426284326037e-08,1.1131894307273e-08,4.1961975719e-09,5.2420939265129e-10
11,100,0,11,3.1216914735684e-07,5.8618701483916e-07,2.5151288585821e-07,1.4530386003848e-07,9.6139451612296e-08,1.2065012031452e-08,4.5388456787474e-09,5.6652631221141e-10
12,100,0,12,3.30853374305e-07,6.2801982186418e-07,2.7092678114533e-07,1.5740793137388e-07,1.0387934038987e-07,1.2999037960157e-08,4.880958802071e-09,6.087236489711e-10
