x,y,z,id,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8
100,0,0,0,5.4746295438787e-08,1.0748759431077e-07,4.726872516886e-08,3.0540316068867e-08,2.1638102994476e-08,2.837271793186e-09,1.0933693288114e-09,1.3780116431631e-10
100,1,0,1,5.4746295438787e-08,1.0748759431077e-07,4.726872516886e-08,3.0540316068867e-08,2.1638102994476e-08,2.837271793186e-09,1.0933693288114e-09,1.3780116431631e-10
100,2,0,2,7.1780310851142e-08,1.4001246599982e-07,6.1630418076553e-08,3.9881174224486e-08,2.8264866460415e-08,3.7066265796515e-09,1.4284453529835e-09,1.8003444916398e-10
100,3,0,3,8.9996202814737e-08,1.7245839758659e-07,7.5880246269413e-08,4.9180160518588e-08,3.4869090152093e-08,4.5733196691489e-09,1.7625332620283e-09,2.2214455671383e-10
100,4,0,4,1.0991891741597e-07,2.0595688114163e-07,9.0300096808373e-08,5.8452299831816e-08,4.1451900797625e-08,5.4373068061061e-09,2.0956129820408e-09,2.6412948620936e-10
100,5,0,5,1.3009139241076e-07,2.3990565323984e-07,1.0482261413156e-07,6.7694937157135e-08,4.8013165045145e-08,6.2985911446222e-09,2.4276762366638e-09,3.0598749301088e-10
100,6,0,6,1.5017652162226e-07,2.7416249871262e-07,1.1948227842656e-07,7.691955928147e-08,5.4553890522311e-08,7.1571273245675e-09,2.7586953284449e-09,3.4771502966594e-10
100,7,0,7,1.6967132294048e-07,3.0818152788544e-07,1.3415897346106e-07,8.6124820809585e-08,6.107348457431e-08,8.0128463895591e-09,3.0886409369859e-09,3.8930814126755e-10
100,8,0,8,1.8838455078655e-07,3.4167050115924e-07,1.4876972013064e-07,9.5314525185483e-08,6.7572088210322e-08,8.8656692527887e-09,3.4174754964887e-09,4.3076195676757e-10
100,9,0,9,2.0616039494616e-07,3.7434408089019e-07,1.6320719379504e-07,1.0448632597336e-07,7.4048979260738e-08,9.7154931800916e-09,3.7451576208203e-09,4.7207113586584e-10
100,10,0,10,2.229456588966e-07,4.0603382103009e-07,1.7738842282179e-07,1.1363804362981e-07,8.0503602587136e-08,1.0562208174937e-08,4.0716414348756e-09,5.1322980179214e-10
100,11,0,11,2.3872787858143e-07,4.3661919322593e-07,1.9124069346284e-07,1.2276439007999e-07,8.6934974528229e-08,1.1405688724e-08,4.3968778123116e-09,5.5423170361297e-10
100,12,0,12,2.5353507992553e-07,4.6603604321497e-07,2.0471019727189e-07,1.3185889381374e-07,9.3342032444817e-08,1.2245801814371e-08,4.7208147261683e-09,5.9507024498697e-10
100,13,0,13,2.6741552184666e-07,4.942543171711e-07,2.1775718381888e-07,1.4091323373845e-07,9.972345669369e-08,1.3082404250498e-08,5.0433977630224e-09,6.3573855915599e-10
100,14,0,14,2.804308724318e-07,5.212729447512e-07,2.3035569173409e-07,1.4991789447353e-07,1.0607777755178e-07,1.3915345983927e-08,5.3645704993838e-09,6.7622954698255e-10
100,15,0,15,2.9264800419352e-07,5.4711046243778e-07,2.4249070061532e-07,1.5886218927098e-07,1.1240333247471e-07,1.4744469713732e-08,5.6842748106545e-09,7.1653591997435e-10
