group1,group2,group3,group4,group5,group6,id,x,y,z
17700456253031,57177310713317,76123044557725,56943274178999,44792302864978,12776700825654,0,0,100,0
20921672954807,72722851329374,1.0951466428639e+14,76660452135629,60806507308937,17745633542447,1,1,100,0
24252804245967,88289598032531,1.4243164633994e+14,96458297620966,76797361944063,22691448591608,2,2,100,0
27677115092405,1.0387755518039e+14,1.7492989632936e+14,1.1630502252001e+14,92763786147282,27615632327564,3,3,100,0
31180043785108,1.1948501197255e+14,2.0705719289465e+14,1.3617443492701e+14,1.087036109209e+14,32519288626488,4,4,100,0
34748904387955,1.3510893526666e+14,2.3885413573037e+14,1.5604494474217e+14,1.2461390181488e+14,37403186367498,5,5,100,0
38372630121499,1.507452890762e+14,2.7035499938638e+14,1.758987301818e+14,1.4049120581088e+14,42267804282247,6,6,100,0
42041552026347,1.6638929322342e+14,3.0158849947869e+14,1.9572104112466e+14,1.5633173775807e+14,47113372320243,7,7,100,0
45747208033305,1.8203563160548e+14,3.3257847804597e+14,2.1549961857301e+14,1.7213151905635e+14,51939909088041,8,8,100,0
49482178243069,1.976786188338e+14,3.6334451472164e+14,2.3522421242864e+14,1.8788647888604e+14,56747255213302,9,9,100,0
53239942800414,2.13312332576e+14,3.9390247020323e+14,2.5488618232329e+14,2.0359252630405e+14,61535102687527,10,10,100,0
57014759249323,2.2893071772482e+14,4.2426496822724e+14,2.7447816844468e+14,2.1924559989685e+14,66303020376061,11,11,100,0
60801556687418,2.445276675049e+14,4.5444182192615e+14,2.9399382120567e+14,2.3484170034268e+14,71050475968012,12,12,100,0
64595844409864,2.6009708577494e+14,4.8444041007708e+14,3.1342758025098e+14,2.5037691014078e+14,75776854685388,13,13,100,0
68393633053003,2.7563293406624e+14,5.1426600836551e+14,3.3277449471635e+14,2.6584740387225e+14,80481475090569,14,14,100,0
72191366523468,2.9112926629628e+14,5.4392208039588e+14,3.5203007787758e+14,2.812494516323e+14,85163602332013,15,15,100,0
75985863235611,3.0658025359088e+14,5.7341053279237e+14,3.7119019037756e+14,2.9657941768672e+14,89822459156103,16,16,100,0
79774265384116,3.2198020122499e+14,6.027319383563e+14,3.9025094712017e+14,3.1183375593302e+14,94457234992697,17,17,100,0
83553995154325,3.3732355933739e+14,6.3188573088451e+14,4.0920864369114e+14,3.2700900336827e+14,99067093396725,18,18,100,0
87322716923904,3.5260492877827e+14,6.6087037491114e+14,4.2805969882456e+14,3.4210177246425e+14,1.0365117810055e+14,19,19,100,0
91078304639640,3.678190632011e+14,6.8968351331339e+14,4.4680060999552e+14,3.571087431118e+14,1.0820861790353e+14,20,20,100,0
94818813665177,3.8296086830373e+14,7.1832209542346e+14,4.6542791969695e+14,3.7202665460916e+14,1.1273853059749e+14,21,21,100,0
98542456491969,3.9802539895222e+14,7.4678248801203e+14,4.8393819036467e+14,3.868522980231e+14,1.1724002610056e+14,22,22,100,0
1.0224758178886e+14,4.1300785477824e+14,7.7506057125538e+14,5.0232798625822e+14,4.015825091391e+14,1.2171220894739e+14,23,23,100,0
1.0593265633729e+14,4.2790357472303e+14,8.0315182156571e+14,5.2059386089552e+14,4.1621416213158e+14,1.2615418026145e+14,24,24,100,0
1.0959624946077e+14,4.4270803090341e+14,8.310513829539e+14,5.387323488844e+14,4.307441640208e+14,1.3056503931551e+14,25,25,100,0
1.1323701961073e+14,4.57416822095e+14,8.5875412840231e+14,5.5673996120023e+14,4.4516944993603e+14,1.3494388476826e+14,26,26,100,0
1.1685370281627e+14,4.7202566706214e+14,8.8625471255331e+14,5.7461318313157e+14,4.5948697917087e+14,1.3928981565015e+14,27,27,100,0
1.2044510274556e+14,4.8653039791018e+14,9.1354761686383e+14,5.9234847426034e+14,4.7369373199321e+14,1.4360193215777e+14,28,28,100,0
1.2401008216015e+14,5.0092695359186e+14,9.4062718823777e+14,6.0994226996394e+14,4.8778670715709e+14,1.4787933630488e+14,29,29,100,0
1.2754755557348e+14,5.1521137366444e+14,9.674876720235e+14,6.2739098402664e+14,5.0176292005461e+14,1.521211324686e+14,30,30,100,0
