x,y,z,id,group1,group2,group3,group4,group5,group6
0,100,0,0,17704045098579,57181504804573,76124028679750,56950142972101,44795493701287,12777440464491
1,100,0,1,20926868868214,72728524269359,1.0951206636221e+14,76670221642929,60810662724242,17746455768783
2,100,0,2,24258510236567,88296685092142,1.4242999418145e+14,96469667413612,76802695720527,22692558365585
3,100,0,3,27682734684192,1.0388596913248e+14,1.7493188354904e+14,1.1631752450295e+14,92770456177691,27617167270346
4,100,0,4,31185819418084,1.1949483146776e+14,2.0706178187733e+14,1.3618811821571e+14,1.0871155142518e+14,32521195407162
5,100,0,5,34755406942759,1.3512028958638e+14,2.3885817519441e+14,1.5605948694235e+14,1.2462270901789e+14,37405250069322
6,100,0,6,38378749957245,1.5075790916877e+14,2.703644837664e+14,1.7591443111829e+14,1.4050151168155e+14,42270410342835
7,100,0,7,42047810867570,1.6640324237454e+14,3.0160041383228e+14,1.957375796661e+14,1.5634310812372e+14,47116304903897
8,100,0,8,45753845876727,1.8205083078262e+14,3.3259090939313e+14,2.1551650813271e+14,1.7214351876353e+14,51942995073089
9,100,0,9,49488882396743,1.9769496741572e+14,3.6335935954027e+14,2.3524175033238e+14,1.8789935265375e+14,56750628304463
10,100,0,10,53246652209432,2.1332976316942e+14,3.9392007274636e+14,2.5490445619935e+14,2.0360629466687e+14,61538782768849
11,100,0,11,57021459995212,2.2894916350787e+14,4.2428534816793e+14,2.7449721168123e+14,2.1926023332683e+14,66307002290441
12,100,0,12,60808214127275,2.445471839554e+14,4.5446569585522e+14,2.9401401455386e+14,2.3485742813077e+14,71054841187183
13,100,0,13,64602453502129,2.6011817156404e+14,4.8447017043749e+14,3.1345027304307e+14,2.5039468992106e+14,75781918560282
14,100,0,14,68400349343474,2.756548091128e+14,5.1429719621745e+14,3.3279762220012e+14,2.6586566225946e+14,80486698522291
15,100,0,15,72198074106096,2.9115109374258e+14,5.4395220804364e+14,3.5205215745531e+14,2.8126702600547e+14,85168617813943
16,100,0,16,75992739474624,3.066041926399e+14,5.7344751350883e+14,3.7121581951792e+14,2.9659975314725e+14,89828374553675
17,100,0,17,79781059218876,3.2200378418928e+14,6.0276743673903e+14,3.9027529739962e+14,3.1185316021564e+14,94462867156492
18,100,0,18,83560942279962,3.373485292019e+14,6.3192531301664e+14,4.0923511914305e+14,3.2703005296181e+14,99073257420803
19,100,0,19,87329556072086,3.5262963852414e+14,6.6090935259553e+14,4.2808544201778e+14,3.4212224972203e+14,1.0365717520364e+14
20,100,0,20,91085705520780,3.6784687821613e+14,6.8973043232421e+14,4.4683116320681e+14,3.5713295542666e+14,1.0821578295283e+14
21,100,0,21,94825585490858,3.8298600648219e+14,7.1836294397129e+14,4.6545422671964e+14,3.7204749469424e+14,1.1274466349664e+14
22,100,0,22,98549772872820,3.9805324288675e+14,7.468297601461e+14,4.8396848384807e+14,3.868762440465e+14,1.1724712130169e+14
23,100,0,23,1.0225522404096e+14,4.130373490261e+14,7.7511176866163e+14,5.0236066941983e+14,4.0160830136038e+14,1.2171987600139e+14
24,100,0,24,1.0593952077224e+14,4.2792992679871e+14,8.0319664262406e+14,5.2062213761604e+14,4.1623639050403e+14,1.261607593781e+14
25,100,0,25,1.0960319763063e+14,4.427349183218e+14,8.3109766215966e+14,5.3876145022434e+14,4.3076699352523e+14,1.3057180512928e+14
26,100,0,26,1.1324482784697e+14,4.5744744156074e+14,8.5880830710965e+14,5.5677419743284e+14,4.4519633810687e+14,1.3495189214445e+14
27,100,0,27,1.1686261245683e+14,4.7206094433593e+14,8.863184460768e+14,5.7465367250449e+14,4.5951883732973e+14,1.3929934039327e+14
28,100,0,28,1.2045294154729e+14,4.8656136603026e+14,9.1360298769849e+14,5.9238333872925e+14,4.7372102421693e+14,1.4361006252958e+14
29,100,0,29,1.2401726378769e+14,5.009553231475e+14,9.4067768127844e+14,6.0997384981656e+14,4.8781131160171e+14,1.4788664571374e+14
30,100,0,30,1.2755438503669e+14,5.1523838717616e+14,9.6753575337095e+14,6.2742093500406e+14,5.0178617067479e+14,1.5212802772892e+14
31,100,0,31,1.3106315834596e+14,5.2940624597916e+14,9.9417045320083e+14,6.4472037096948e+14,5.1564213697222e+14,1.5633316453502e+14
32,100,0,32,1.3454248674553e+14,5.434547254329e+14,1.020575110505e+15,6.6186800926119e+14,5.2937583024322e+14,1.6050103680873e+14
33,100,0,33,1.3799132669248e+14,5.5737981283105e+14,1.0467431964006e+15,6.7885980710432e+14,5.4298397672072e+14,1.6463065710903e+14
