x,y,z,id,group1,group2,group3,group4,group5,group6
0,100,0,0,17702476816186,57175933331040,76116256075431,56944830405739,44791271211128,12776233885993
1,100,0,1,20924323442146,72721306276651,1.0950388292181e+14,76662567969197,60805079588670,17744926181663
2,100,0,2,24255579996893,88287916931139,1.4241897769085e+14,96460249035665,76795667382684,22690597785680
3,100,0,3,27679679826908,1.0387572748617e+14,1.7491688471108e+14,1.163064653348e+14,92761928177182,27614718041155
4,100,0,4,31182756780478,1.1948316523598e+14,2.0704212807401e+14,1.361753047813e+14,1.087014435963e+14,32518211043185
5,100,0,5,34751697139810,1.3510705744255e+14,2.3883717468227e+14,1.560449724198e+14,1.2461135050437e+14,37401935960269
6,100,0,6,38375021720522,1.5074325830974e+14,2.7033869695209e+14,1.7589796683686e+14,1.4048850409218e+14,42266538736122
7,100,0,7,42043781601940,1.6638713490238e+14,3.0157150171332e+14,1.9571933138629e+14,1.5632867530197e+14,47111992899010
8,100,0,8,45749104826923,1.8203329561489e+14,3.3256185458626e+14,2.1549711233829e+14,1.7212822157233e+14,51938489895519
9,100,0,9,49483906191154,1.9767604191384e+14,3.6332696703977e+14,2.3522058806698e+14,1.8788264280087e+14,56745677162148
10,100,0,10,53241269893232,2.1330958395284e+14,3.9388616601337e+14,2.5488212482438e+14,2.0358864190953e+14,61533566035842
11,100,0,11,57015806536025,2.2892771673614e+14,4.2424882376209e+14,2.7447338437561e+14,2.1924139323474e+14,66301420136590
12,100,0,12,60802380880411,2.4452423041966e+14,4.544247549349e+14,2.9398787240039e+14,2.3483680209209e+14,71048684727055
13,100,0,13,64596398089105,2.6009322723544e+14,4.8442300514738e+14,3.1342072899317e+14,2.5037147438381e+14,75774931022130
14,100,0,14,68393909570280,2.7562865571015e+14,5.1424847246362e+14,3.3276688505838e+14,2.6584149905836e+14,80479442623924
15,100,0,15,72191372909785,2.9112456461756e+14,5.4390447724047e+14,3.5202180243255e+14,2.8124311281202e+14,85161471124957
16,100,0,16,75985616268367,3.0657516391559e+14,5.7339299662947e+14,3.7118139370311e+14,2.9657272520293e+14,89820252426844
17,100,0,17,79773806391490,3.2197488026751e+14,6.0271489410389e+14,3.9024196234323e+14,3.1182694189998e+14,94455022552324
18,100,0,18,83553413698877,3.3731837104761e+14,6.318700420999e+14,4.0920009846421e+14,3.2700253815705e+14,99065017653106
19,100,0,19,87321785366169,3.5259854475263e+14,6.6085243339787e+14,4.2804936681507e+14,3.4209391591278e+14,1.0364869302664e+14
20,100,0,20,91077087838500,3.6781185423879e+14,6.8966443050688e+14,4.4678922383458e+14,3.571000426997e+14,1.0820589349833e+14
21,100,0,21,94817541531027,3.8295386704191e+14,7.1830428868555e+14,4.6541710616898e+14,3.7201837883411e+14,1.1273595580278e+14
22,100,0,22,98540895742718,3.980174726501e+14,7.4676326621088e+14,4.8392623127931e+14,3.8684308827104e+14,1.1723717949701e+14
23,100,0,23,1.0224578055562e+14,4.1299920379699e+14,7.7504041479172e+14,5.0231523104196e+14,4.0157263296105e+14,1.2170917131604e+14
24,100,0,24,1.0593081815105e+14,4.2789503086236e+14,8.0313244684999e+14,5.2058148475445e+14,4.1620455446438e+14,1.26151235841e+14
25,100,0,25,1.0959406102613e+14,4.4269823768164e+14,8.3102992384714e+14,5.3871847751493e+14,4.3073332703491e+14,1.305617280827e+14
26,100,0,26,1.1323476079683e+14,4.5740692586123e+14,8.5873290983747e+14,5.5672616660892e+14,4.4515864177457e+14,1.3494058988911e+14
27,100,0,27,1.1685131042631e+14,4.7201538033299e+14,8.8623311589179e+14,5.7459907694747e+14,4.5947589012152e+14,1.3928644120987e+14
28,100,0,28,1.2044233140334e+14,4.8651869100698e+14,9.1352356458851e+14,5.923326971292e+14,4.7368127206516e+14,1.4359814441994e+14
29,100,0,29,1.240075255516e+14,5.009162375371e+14,9.4060539844791e+14,6.0992796631432e+14,4.8777540778387e+14,1.4787590667059e+14
30,100,0,30,1.2754469590878e+14,5.1519951887854e+14,9.674639459999e+14,6.2737538642076e+14,5.0175055757955e+14,1.5211738201725e+14
31,100,0,31,1.3105320047259e+14,5.2936630191489e+14,9.9409660669253e+14,6.4467349299509e+14,5.1560547324573e+14,1.563222029497e+14
32,100,0,32,1.3453251654967e+14,5.434147459635e+14,1.020501231776e+15,6.6182112552769e+14,5.2933918056782e+14,1.6049008361299e+14
33,100,0,33,1.379815962005e+14,5.573408161e+14,1.0466712247322e+15,6.7881419095716e+14,5.4294836556684e+14,1.6462002408743e+14
34,100,0,34,1.4139911557615e+14,5.7113931960745e+14,1.0725976444595e+15,6.9564706224632e+14,5.5642849653484e+14,1.6871065337792e+14
35,100,0,35,1.4478368794252e+14,5.8480477674464e+14,1.0982709043202e+15,7.1231369769043e+14,5.6977472423679e+14,1.7276050411396e+14
36,100,0,36,1.4813518137404e+14,5.9833674121309e+14,1.1236908600906e+15,7.2881424515219e+14,5.8298719798583e+14,1.7676963106595e+14
37,100,0,37,1.5145268816033e+14,6.1173160774066e+14,1.1488512426435e+15,7.451448169953e+14,5.9606282616383e+14,1.8073710199369e+14
38,100,0,38,1.5473533154697e+14,6.2498587708466e+14,1.173745901758e+15,7.6130159368323e+14,6.0899858002742e+14,1.8466200402806e+14
39,100,0,39,1.5798226682894e+14,6.3809616426988e+14,1.1983688323071e+15,7.7728083928435e+14,6.2179150426087e+14,1.8854344687506e+14
40,100,0,40,1.6119268274044e+14,6.5105920742827e+14,1.2227142004722e+15,7.9307891754435e+14,6.3443872816756e+14,1.9238056618622e+14
41,100,0,41,1.643658031265e+14,6.6387187725134e+14,1.24677637007e+15,8.0869230848509e+14,6.4693747747363e+14,1.9617252709468e+14
42,100,0,42,1.6750088888111e+14,6.7653118705964e+14,1.2705499290659e+15,8.2411762549344e+14,6.592850867149e+14,1.9991852791484e+14
43,100,0,43,1.7059724013689e+14,6.8903430348779e+14,1.2940297163413e+15,8.3935163286623e+14,6.7147901217563e+14,2.0361780400147e+14
44,100,0,44,1.7365419869056e+14,7.013785577767e+14,1.3172108487686e+15,8.5439126377976e+14,6.8351684534592e+14,2.07269631763e+14
45,100,0,45,1.7667115064852e+14,7.1356145765863e+14,1.3400887486388e+15,8.6923363865304e+14,6.9539632686198e+14,2.108733328219e+14
46,100,0,46,1.7964571591272e+14,7.2557338446748e+14,1.3626454307926e+15,8.8386715318596e+14,7.0710819625802e+14,2.1442610157451e+14
47,100,0,47,1.8257864045254e+14,7.3741732795273e+14,1.3848865802503e+15,8.9829558481043e+14,7.1865553583291e+14,2.179288829596e+14
48,100,0,48,1.8546951050011e+14,7.4909160073453e+14,1.406809076358e+15,9.1251697225777e+14,7.3003681768501e+14,2.2138122036529e+14
