x,y,z,id,group1,group2,group3,group4,group5,group6
0,100,0,0,1.7700499789156e+15,5.7177444449717e+15,7.6123203699643e+15,5.6943373546865e+15,4.4792367903815e+15,1.2776717248769e+15
1,100,0,1,2.0921724347899e+15,7.2723021173189e+15,1.0951489280921e+16,7.6660585711558e+15,6.080659545315e+15,1.7745656312373e+15
2,100,0,2,2.425286361389e+15,8.8289803445772e+15,1.4243194225057e+16,9.6458465050811e+15,7.6797472803944e+15,2.2691477580979e+15
3,100,0,3,2.7677182481022e+15,1.0387779549988e+16,1.7493025752403e+16,1.1630522325201e+16,9.2763919240398e+15,2.7615667385409e+15
4,100,0,4,3.1180119173832e+15,1.1948528640729e+16,2.0705761714591e+16,1.3617466822603e+16,1.0870376567143e+16,3.2519329578135e+15
5,100,0,5,3.4748987694706e+15,1.3510924289661e+16,2.3885462067653e+16,1.5604520970218e+16,1.2461407755389e+16,3.740323301461e+15
6,100,0,6,3.8372721207179e+15,1.5074562885229e+16,2.7035554252337e+16,1.7589902573697e+16,1.4049140177736e+16,4.226785640298e+15
7,100,0,7,4.2041650698902e+15,1.6638966396858e+16,3.0158909815412e+16,1.9572136605925e+16,1.5633195310054e+16,4.7113429669526e+15
8,100,0,8,4.5747314051451e+15,1.8203603201665e+16,3.3257912945522e+16,2.1549997153041e+16,1.7213175283508e+16,5.1939971397972e+15
9,100,0,9,4.9482291319741e+15,1.9767904748476e+16,3.633452159058e+16,2.3522459191966e+16,1.8788673007562e+16,5.6747322193653e+15
10,100,0,10,5.3240062605976e+15,2.1331278792087e+16,3.9390321804877e+16,2.5488658673393e+16,2.0359279379635e+16,6.153517402635e+15
11,100,0,11,5.7014885414598e+15,2.2893119810228e+16,4.2426575946731e+16,2.7447859604349e+16,2.1924588250426e+16,6.6303095740389e+15
12,100,0,12,6.0801688806554e+15,2.4452817114293e+16,4.5444265314325e+16,2.9399427015082e+16,2.3484199680167e+16,7.1050555004644e+15
13,100,0,13,6.4595982043081e+15,2.6009761079606e+16,4.8444127770711e+16,3.1342804859714e+16,2.5037721911562e+16,7.5776937021754e+15
14,100,0,14,6.8393775729235e+15,2.7563347849318e+16,5.14266908703e+16,3.327749804214e+16,2.6584772395892e+16,8.0481560335664e+15
15,100,0,15,7.219151374292e+15,2.9112982805807e+16,5.4392300960026e+16,3.5203057880929e+16,2.8124978136263e+16,8.5163690077395e+15
16,100,0,16,7.5986014472246e+15,3.0658083052924e+16,5.7341148689528e+16,3.711907043202e+16,2.965797555326e+16,8.9822548976954e+15
17,100,0,17,7.977442008809e+15,3.2198079110105e+16,6.027329132697e+16,3.9025147178118e+16,3.1183410031078e+16,9.4457326448927e+15
18,100,0,18,8.355415275437e+15,3.3732415983859e+16,6.3188672240963e+16,4.0920917670777e+16,3.2700935264317e+16,9.9067186034124e+15
