"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-698.8629302,0,0,0,0,1,0,0,100,0
-698.8670672,-0.004160003075,0.42352722,0,0,1,1,1,100,0
-698.8710658,-0.01645511004,0.8361533047,0,0,1,2,2,100,0
-698.8749264,-0.03660745325,1.2377727,0,0,1,3,3,100,0
-698.8786497,-0.06433882987,1.62829787,0,0,1,4,4,100,0
-698.8822369,-0.09937114126,2.00765871,0,0,1,5,5,100,0
-698.8856892,-0.141426829,2.375801947,0,0,1,6,6,100,0
-698.8890085,-0.1902293053,2.732690522,0,0,1,7,7,100,0
-698.8921967,-0.2455033757,3.078302971,0,0,1,8,8,100,0
-698.8952559,-0.3069756517,3.412632789,0,0,1,9,9,100,0
-698.8981886,-0.3743749515,3.735687783,0,0,1,10,10,100,0
-698.9009973,-0.4474326864,4.04748942,0,0,1,11,11,100,0
-698.9036848,-0.5258832325,4.348072171,0,0,1,12,12,100,0
-698.906254,-0.6094642845,4.637482846,0,0,1,13,13,100,0
-698.9087078,-0.6979171922,4.915779927,0,0,1,14,14,100,0
-698.9110493,-0.7909872762,5.183032902,0,0,1,15,15,100,0
-698.9132816,-0.8884241246,5.439321598,0,0,1,16,16,100,0
-698.915408,-0.989981868,5.684735517,0,0,1,17,17,100,0
-698.9174316,-1.095419433,5.919373176,0,0,1,18,18,100,0
-698.9193557,-1.204500772,6.143341456,0,0,1,19,19,100,0
-698.9211835,-1.316995074,6.356754955,0,0,1,20,20,100,0
-698.9229184,-1.432676953,6.559735355,0,0,1,21,21,100,0
-698.9245635,-1.551326606,6.752410797,0,0,1,22,22,100,0
-698.926122,-1.672729961,6.934915272,0,0,1,23,23,100,0
-698.9275971,-1.796678797,7.107388022,0,0,1,24,24,100,0
-698.9289919,-1.922970838,7.269972963,0,0,1,25,25,100,0
-698.9303094,-2.051409839,7.422818119,0,0,1,26,26,100,0
-698.9315525,-2.181805636,7.56607508,0,0,1,27,27,100,0
-698.9327242,-2.31397419,7.699898471,0,0,1,28,28,100,0
-698.9338272,-2.447737604,7.824445449,0,0,1,29,29,100,0
-698.9348642,-2.582924128,7.939875215,0,0,1,30,30,100,0
-698.9358379,-2.719368138,8.04634855,0,0,1,31,31,100,0
-698.9367507,-2.856910112,8.144027371,0,0,1,32,32,100,0
-698.9376051,-2.995396576,8.233074312,0,0,1,33,33,100,0
-698.9384033,-3.134680049,8.313652321,0,0,1,34,34,100,0
-698.9391475,-3.274618967,8.385924287,0,0,1,35,35,100,0
-698.9398397,-3.415077595,8.450052684,0,0,1,36,36,100,0
-698.940482,-3.555925931,8.506199242,0,0,1,37,37,100,0
-698.9410761,-3.697039597,8.554524634,0,0,1,38,38,100,0
-698.9416237,-3.838299723,8.595188191,0,0,1,39,39,100,0
-698.9421265,-3.979592817,8.628347638,0,0,1,40,40,100,0
-698.9425858,-4.120810638,8.654158847,0,0,1,41,41,100,0
-698.943003,-4.261850046,8.672775616,0,0,1,42,42,100,0
-698.9433794,-4.402612863,8.68434947,0,0,1,43,43,100,0
-698.9437159,-4.543005718,8.689029473,0,0,1,44,44,100,0
-698.9440138,-4.682939891,8.686962073,0,0,1,45,45,100,0
-698.9442736,-4.822331155,8.678290952,0,0,1,46,46,100,0
-698.9444963,-4.961099608,8.663156905,0,0,1,47,47,100,0
-698.9446825,-5.099169513,8.641697734,0,0,1,48,48,100,0
-698.9448326,-5.236469128,8.614048153,0,0,1,49,49,100,0
-698.9449471,-5.372930539,8.58033972,0,0,1,50,50,100,0
-698.9450263,-5.508489489,8.540700777,0,0,1,51,51,100,0
-698.9450703,-5.643085211,8.495256405,0,0,1,52,52,100,0
-698.9450793,-5.776660257,8.4441284,0,0,1,53,53,100,0
-698.9450532,-5.90916033,8.387435253,0,0,1,54,54,100,0
-698.9449919,-6.040534115,8.325292153,0,0,1,55,55,100,0
-698.9448953,-6.170733117,8.257810995,0,0,1,56,56,100,0
-698.9447629,-6.29971149,8.185100401,0,0,1,57,57,100,0
-698.9445945,-6.42742588,8.107265754,0,0,1,58,58,100,0
-698.9443895,-6.55383526,8.024409245,0,0,1,59,59,100,0
-698.9441474,-6.678900772,7.936629919,0,0,1,60,60,100,0
-698.9438675,-6.802585573,7.844023744,0,0,1,61,61,100,0
-698.943549,-6.924854679,7.746683677,0,0,1,62,62,100,0
-698.9431913,-7.045674815,7.644699745,0,0,1,63,63,100,0
-698.9427934,-7.165014267,7.538159133,0,0,1,64,64,100,0
-698.9423544,-7.282842737,7.427146275,0,0,1,65,65,100,0
-698.9418733,-7.3991312,7.311742955,0,0,1,66,66,100,0
-698.941349,-7.513851765,7.192028413,0,0,1,67,67,100,0
-698.9407804,-7.626977538,7.068079457,0,0,1,68,68,100,0
-698.9401664,-7.738482491,6.939970581,0,0,1,69,69,100,0
-698.9395057,-7.848341329,6.807774085,0,0,1,70,70,100,0
-698.938797,-7.956529367,6.671560206,0,0,1,71,71,100,0
-698.938039,-8.063022401,6.531397244,0,0,1,72,72,100,0
-698.9372305,-8.16779659,6.387351701,0,0,1,73,73,100,0
-698.9363699,-8.270828339,6.23948842,0,0,1,74,74,100,0
-698.935456,-8.372094182,6.087870727,0,0,1,75,75,100,0
-698.9344872,-8.471570672,5.932560574,0,0,1,76,76,100,0
-698.9334621,-8.569234272,5.773618694,0,0,1,77,77,100,0
-698.9323793,-8.665061246,5.611104749,0,0,1,78,78,100,0
-698.9312372,-8.759027561,5.445077489,0,0,1,79,79,100,0
-698.9300343,-8.851108786,5.275594904,0,0,1,80,80,100,0
-698.9287691,-8.941279993,5.102714391,0,0,1,81,81,100,0
-698.9274402,-9.029515664,4.926492914,0,0,1,82,82,100,0
-698.926046,-9.115789603,4.746987169,0,0,1,83,83,100,0
-698.9245851,-9.200074842,4.564253757,0,0,1,84,84,100,0
-698.9230559,-9.282343564,4.378349347,0,0,1,85,85,100,0
-698.921457,-9.362567015,4.189330857,0,0,1,86,86,100,0
-698.9197869,-9.440715429,3.997255624,0,0,1,87,87,100,0
-698.9180444,-9.516757953,3.802181583,0,0,1,88,88,100,0
-698.916228,-9.590662571,3.60416745,0,0,1,89,89,100,0
-698.9143363,-9.662396041,3.4032729,0,0,1,90,90,100,0
-698.9123681,-9.731923826,3.199558756,0,0,1,91,91,100,0
-698.9103222,-9.799210035,2.993087173,0,0,1,92,92,100,0
-698.9081974,-9.864217366,2.783921828,0,0,1,93,93,100,0
-698.9059925,-9.92690705,2.572128115,0,0,1,94,94,100,0
-698.9037065,-9.987238804,2.357773335,0,0,1,95,95,100,0
-698.9013386,-10.04517079,2.140926894,0,0,1,96,96,100,0
-698.8988876,-10.10065956,1.921660502,0,0,1,97,97,100,0
-698.896353,-10.15366004,1.700048374,0,0,1,98,98,100,0
-698.8937339,-10.20412549,1.476167432,0,0,1,99,99,100,0
-698.8910297,-10.25200749,1.250097509,0,0,1,100,100,100,0
-698.8882399,-10.2972559,1.02192156,0,0,1,101,101,100,0
-698.8853642,-10.33981886,0.7917258643,0,0,1,102,102,100,0
-698.8824023,-10.3796428,0.5596002415,0,0,1,103,103,100,0
-698.8793539,-10.41667242,0.3256382591,0,0,1,104,104,100,0
-698.8762191,-10.45085069,0.08993744673,0,0,1,105,105,100,0
-698.8729981,-10.48211891,-0.1474004912,0,0,1,106,106,100,0
-698.869691,-10.51041668,-0.386269461,0,0,1,107,107,100,0
-698.8662982,-10.53568198,-0.6265587659,0,0,1,108,108,100,0
-698.8628205,-10.55785119,-0.8681528925,0,0,1,109,109,100,0
-698.8592584,-10.57685914,-1.110931298,0,0,1,110,110,100,0
-698.8556129,-10.59263918,-1.354768197,0,0,1,111,111,100,0
-698.8518851,-10.60512327,-1.599532357,0,0,1,112,112,100,0
-698.8480763,-10.61424203,-1.845086883,0,0,1,113,113,100,0
