"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-351.2853499,0,0,0,0,1,0,0,100,0
-351.2894868,-0.004160002718,0.4235275303,0,0,1,1,1,100,0
-351.2934854,-0.0164550976,0.8361539065,0,0,1,2,2,100,0
-351.2973459,-0.03660742766,1.237773584,0,0,1,3,3,100,0
-351.3010692,-0.06433878753,1.628299029,0,0,1,4,4,100,0
-351.3046562,-0.09937107946,2.007660137,0,0,1,5,5,100,0
-351.3081085,-0.141426745,2.375803633,0,0,1,6,6,100,0
-351.3114276,-0.1902291966,2.732692461,0,0,1,7,7,100,0
-351.3146156,-0.24550324,3.078305158,0,0,1,8,8,100,0
-351.3176747,-0.3069754869,3.412635216,0,0,1,9,9,100,0
-351.3206072,-0.3743747557,3.735690444,0,0,1,10,10,100,0
-351.3234158,-0.4474324578,4.04749231,0,0,1,11,11,100,0
-351.3261031,-0.5258829697,4.348075284,0,0,1,12,12,100,0
-351.3286721,-0.6094639862,4.637486177,0,0,1,13,13,100,0
-351.3311257,-0.6979168573,4.91578347,0,0,1,14,14,100,0
-351.333467,-0.7909869038,5.183036652,0,0,1,15,15,100,0
-351.3356992,-0.8884237141,5.43932555,0,0,1,16,16,100,0
-351.3378253,-0.989981419,5.684739666,0,0,1,17,17,100,0
-351.3398488,-1.095418945,5.919377517,0,0,1,18,18,100,0
-351.3417727,-1.204500245,6.143345984,0,0,1,19,19,100,0
-351.3436004,-1.316994509,6.356759666,0,0,1,20,20,100,0
-351.3453351,-1.432676349,6.559740244,0,0,1,21,21,100,0
-351.34698,-1.551325964,6.75241586,0,0,1,22,22,100,0
-351.3485384,-1.672729282,6.934920503,0,0,1,23,23,100,0
-351.3500134,-1.796678081,7.107393416,0,0,1,24,24,100,0
-351.351408,-1.922970087,7.269978516,0,0,1,25,25,100,0
-351.3527253,-2.051409053,7.422823828,0,0,1,26,26,100,0
-351.3539683,-2.181804816,7.566080939,0,0,1,27,27,100,0
-351.3551399,-2.313973338,7.699904475,0,0,1,28,28,100,0
-351.3562427,-2.447736723,7.824451594,0,0,1,29,29,100,0
-351.3572797,-2.582923217,7.939881496,0,0,1,30,30,100,0
-351.3582533,-2.719367201,8.046354962,0,0,1,31,31,100,0
-351.359166,-2.856909149,8.14403391,0,0,1,32,32,100,0
-351.3600203,-2.99539559,8.233080973,0,0,1,33,33,100,0
-351.3608184,-3.134679042,8.313659099,0,0,1,34,34,100,0
-351.3615625,-3.274617941,8.385931178,0,0,1,35,35,100,0
-351.3622547,-3.415076552,8.450059684,0,0,1,36,36,100,0
-351.3628969,-3.555924872,8.506206345,0,0,1,37,37,100,0
-351.363491,-3.697038526,8.554531835,0,0,1,38,38,100,0
-351.3640386,-3.838298641,8.595195486,0,0,1,39,39,100,0
-351.3645413,-3.979591728,8.628355022,0,0,1,40,40,100,0
-351.3650006,-4.120809543,8.654166314,0,0,1,41,41,100,0
-351.3654178,-4.261848948,8.672783163,0,0,1,42,42,100,0
-351.3657941,-4.402611764,8.684357092,0,0,1,43,43,100,0
-351.3661307,-4.543004621,8.689037165,0,0,1,44,44,100,0
-351.3664285,-4.682938799,8.68696983,0,0,1,45,45,100,0
-351.3666884,-4.822330069,8.67829877,0,0,1,46,46,100,0
-351.3669111,-4.961098531,8.663164779,0,0,1,47,47,100,0
-351.3670973,-5.099168448,8.641705658,0,0,1,48,48,100,0
-351.3672475,-5.236468077,8.614056123,0,0,1,49,49,100,0
-351.367362,-5.372929505,8.580347733,0,0,1,50,50,100,0
-351.3674412,-5.508488475,8.540708826,0,0,1,51,51,100,0
-351.3674853,-5.643084219,8.495264487,0,0,1,52,52,100,0
-351.3674943,-5.776659289,8.44413651,0,0,1,53,53,100,0
-351.3674683,-5.909159389,8.387443387,0,0,1,54,54,100,0
-351.3674071,-6.040533204,8.325300307,0,0,1,55,55,100,0
-351.3673105,-6.170732238,8.257819164,0,0,1,56,56,100,0
-351.3671782,-6.299710647,8.18510858,0,0,1,57,57,100,0
