"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-698.7349979,0,0,0,0,1,0,100,0,0
-698.734953,-0.3465857391,9.635649116e-05,0,0,1,2,100,2,0
-698.7349267,-0.677653558,0.0003406150623,0,0,1,4,100,4,0
-698.734919,-0.9946241159,0.0006764794598,0,0,1,6,100,6,0
-698.7349309,-1.298813188,0.001061478349,0,0,1,8,100,8,0
-698.7349646,-1.59143897,0.001466131889,0,0,1,10,100,10,0
-698.7350228,-1.87362879,0.001873218637,0,0,1,12,100,12,0
-698.7351091,-2.146425249,0.002277135032,0,0,1,14,100,14,0
-698.7352276,-2.410791821,0.002683339697,0,0,1,16,100,16,0
-698.7353829,-2.667617917,0.003107874469,0,0,1,18,100,18,0
-698.7355801,-2.917723464,0.003576953934,0,0,1,20,100,20,0
-698.7358249,-3.161862989,0.004126615021,0,0,1,22,100,22,0
-698.7361233,-3.400729254,0.004802418144,0,0,1,24,100,24,0
-698.7364817,-3.634956453,0.005659191212,0,0,1,26,100,26,0
-698.7369071,-3.865122993,0.006760807772,0,0,1,28,100,28,0
-698.7374069,-4.091753873,0.008179990397,0,0,1,30,100,30,0
-698.7379888,-4.315322702,0.009998130362,0,0,1,32,100,32,0
-698.7386611,-4.536253347,0.01230511448,0,0,1,34,100,34,0
-698.7394325,-4.754921254,0.01519914992,0,0,1,36,100,36,0
-698.7403122,-4.971654457,0.01878657756,0,0,1,38,100,38,0
-698.7413099,-5.186734282,0.02318166447,0,0,1,40,100,40,0
-698.7424359,-5.400395783,0.02850636583,0,0,1,42,100,42,0
-698.7437009,-5.612827924,0.03489004651,0,0,1,44,100,44,0
-698.7451162,-5.824173518,0.04246915247,0,0,1,46,100,46,0
-698.7466935,-6.034528963,0.05138682192,0,0,1,48,100,48,0
-698.7484454,-6.243943773,0.0617924263,0,0,1,50,100,50,0
-698.7503846,-6.45241995,0.07384103087,0,0,1,52,100,52,0
-698.7525245,-6.659911196,0.08769276507,0,0,1,54,100,54,0
-698.7548792,-6.866322009,0.1035120926,0,0,1,56,100,56,0
-698.7574631,-7.071506667,0.1214669716,0,0,1,58,100,58,0
-698.7602909,-7.275268145,0.1417278956,0,0,1,60,100,60,0
-698.763378,-7.477356974,0.1644668061,0,0,1,62,100,62,0
-698.76674,-7.677470078,0.189855869,0,0,1,64,100,64,0
-698.7703926,-7.875249611,0.2180661067,0,0,1,66,100,66,0
-698.7743521,-8.070281834,0.2492658799,0,0,1,68,100,68,0
-698.7786344,-8.262096039,0.2836192134,0,0,1,70,100,70,0
-698.7832558,-8.450163577,0.3212839624,0,0,1,72,100,72,0
-698.7882321,-8.633896993,0.3624098165,0,0,1,74,100,74,0
-698.793579,-8.812649319,0.4071361424,0,0,1,76,100,76,0
-698.7993116,-8.985713545,0.4555896664,0,0,1,78,100,78,0
-698.8054444,-9.152322287,0.5078820015,0,0,1,80,100,80,0
-698.811991,-9.311647701,0.5641070279,0,0,1,82,100,82,0
-698.818964,-9.462801639,0.624338137,0,0,1,84,100,84,0
-698.8263744,-9.604836093,0.6886253536,0,0,1,86,100,86,0
-698.8342318,-9.736743926,0.7569923551,0,0,1,88,100,88,0
-698.8425441,-9.857459907,0.8294334107,0,0,1,90,100,90,0
-698.8513167,-9.965862059,0.9059102666,0,0,1,92,100,92,0
-698.8605528,-10.06077331,0.9863490109,0,0,1,94,100,94,0
-698.8702526,-10.14096346,1.070636954,0,0,1,96,100,96,0
-698.8804136,-10.20515137,1.158619563,0,0,1,98,100,98,0
-698.8910297,-10.25200749,1.250097509,0,0,1,100,100,100,0
-698.902091,-10.2801565,1.344823857,0,0,1,102,100,102,0
-698.9135839,-10.28818018,1.442501478,0,0,1,104,100,104,0
-698.9254903,-10.27462028,1.542780733,0,0,1,106,100,106,0
-698.9377877,-10.23798149,1.645257492,0,0,1,108,100,108,0
-698.9504489,-10.17673423,1.749471566,0,0,1,110,100,110,0
-698.9634415,-10.08931731,1.854905617,0,0,1,112,100,112,0
-698.9767283,-9.974140215,1.960984629,0,0,1,114,100,114,0
-698.9902666,-9.829584977,2.067076008,0,0,1,116,100,116,0
-699.0040088,-9.654007421,2.172490407,0,0,1,118,100,118,0
-699.0179017,-9.445737691,2.276483337,0,0,1,120,100,120,0
-699.0318871,-9.203079879,2.378257655,0,0,1,122,100,122,0
-699.045902,-8.924310604,2.476967012,0,0,1,124,100,124,0
-699.0598784,-8.607676424,2.571720331,0,0,1,126,100,126,0
-699.0737442,-8.251389938,2.661587385,0,0,1,128,100,128,0
-699.0874233,-7.853624494,2.745605566,0,0,1,130,100,130,0
-699.1008361,-7.412507433,2.822787892,0,0,1,132,100,132,0
-699.1139005,-6.926111857,2.892132323,0,0,1,134,100,134,0
-699.1265322,-6.392446972,2.952632437,0,0,1,136,100,136,0
-699.1386459,-5.809447131,3.003289511,0,0,1,138,100,138,0
-699.1501561,-5.174959792,3.043126046,0,0,1,140,100,140,0
-699.1609779,-4.486732732,3.071200751,0,0,1,142,100,142,0
-699.1710284,-3.742400982,3.086624981,0,0,1,144,100,144,0
-699.1802279,-2.939474097,3.088580624,0,0,1,146,100,146,0
-699.1885008,-2.075324558,3.076339369,0,0,1,148,100,148,0
-699.1957772,-1.147178284,3.049283272,0,0,1,150,100,150,0
-699.2019942,-0.1521084375,3.006926465,0,0,1,152,100,152,0
-699.2070971,0.9129660952,2.948937825,0,0,1,154,100,154,0
-699.2110407,2.051275934,2.875164283,0,0,1,156,100,156,0
-699.2137912,3.266188366,2.785654417,0,0,1,158,100,158,0
-699.2153268,4.561184479,2.680681811,0,0,1,160,100,160,0
-699.2156393,5.939824195,2.560767521,0,0,1,162,100,162,0
-699.2147354,7.405697106,2.426700865,0,0,1,164,100,164,0
-699.2126374,8.962357083,2.27955751,0,0,1,166,100,166,0
-699.2093842,10.61323883,2.120713687,0,0,1,168,100,168,0
-699.2050322,12.36155499,1.9518551,0,0,1,170,100,170,0
-699.1996554,14.21017293,1.774978937,0,0,1,172,100,172,0
-699.1933454,16.16147137,1.592387152,0,0,1,174,100,174,0
-699.1862114,18.21717791,1.406669055,0,0,1,176,100,176,0
-699.178379,20.37819035,1.220671138,0,0,1,178,100,178,0
-699.1699894,22.64438602,1.037452039,0,0,1,180,100,180,0
-699.1611966,25.01442586,0.8602206553,0,0,1,182,100,182,0
-699.1521658,27.48556211,0.6922556129,0,0,1,184,100,184,0
-699.1430688,30.05346084,0.5368047207,0,0,1,186,100,186,0
-699.1340809,32.71205366,0.3969635575,0,0,1,188,100,188,0
-699.1253752,35.45343491,0.2755330716,0,0,1,190,100,190,0
-699.1171172,38.26782335,0.1748569274,0,0,1,192,100,192,0
-699.1094584,41.14360916,0.09664028533,0,0,1,194,100,194,0
-699.1025295,44.06750833,0.04175268551,0,0,1,196,100,196,0
-699.096433,47.02484726,0.01001860871,0,0,1,198,100,198,0
-699.0912366,50,0,0,0,1,200,100,200,0
