"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-351.1574175,0,0,0,0,1,0,100,0,0
-351.1573927,-0.1753259597,2.560260933e-05,0,0,1,1,100,1,0
-351.1573726,-0.346586251,9.635483778e-05,0,0,1,2,100,2,0
-351.1573572,-0.5139688207,0.0002038503657,0,0,1,3,100,3,0
-351.1573463,-0.6776545847,0.0003406158656,0,0,1,4,100,4,0
-351.15734,-0.8378176673,0.0005000669099,0,0,1,5,100,5,0
-351.1573385,-0.9946256419,0.0006764830395,0,0,1,6,100,6,0
-351.1573419,-1.148239765,0.0008649799794,0,0,1,7,100,7,0
-351.1573504,-1.298815198,0.001061484699,0,0,1,8,100,8,0
-351.1573643,-1.446501223,0.001262711707,0,0,1,9,100,9,0
-351.157384,-1.591441448,0.001466140948,0,0,1,10,100,10,0
-351.1574098,-1.733774001,0.001669997112,0,0,1,11,100,11,0
-351.1574422,-1.873631721,0.001873230348,0,0,1,12,100,12,0
-351.1574816,-2.011142331,0.002075498299,0,0,1,13,100,13,0
-351.1575284,-2.146428618,0.002277149392,0,0,1,14,100,14,0
-351.1575833,-2.279608585,0.002479207345,0,0,1,15,100,15,0
-351.1576468,-2.410795612,0.002683356792,0,0,1,16,100,16,0
-351.1577195,-2.540098601,0.002891929988,0,0,1,17,100,17,0
-351.1578021,-2.667622115,0.00310789452,0,0,1,18,100,18,0
-351.157895,-2.793466509,0.003334841948,0,0,1,19,100,19,0
-351.1579992,-2.917728054,0.003576977332,0,0,1,20,100,20,0
-351.1581152,-3.040499053,0.003839109551,0,0,1,21,100,21,0
-351.1582439,-3.161867954,0.00412664237,0,0,1,22,100,22,0
-351.158386,-3.281919451,0.004445566173,0,0,1,23,100,23,0
-351.1585422,-3.400734579,0.004802450296,0,0,1,24,100,24,0
-351.1587134,-3.518390808,0.005204435899,0,0,1,25,100,25,0
-351.1589006,-3.634962123,0.005659229301,0,0,1,26,100,26,0
-351.1591044,-3.750519102,0.006175095705,0,0,1,27,100,27,0
-351.1593259,-3.86512899,0.006760853252,0,0,1,28,100,28,0
-351.159566,-3.978855761,0.007425867332,0,0,1,29,100,29,0
-351.1598256,-4.091760181,0.008180045075,0,0,1,30,100,30,0
-351.1601057,-4.203899861,0.009033829953,0,0,1,31,100,31,0
-351.1604074,-4.315329304,0.009998196428,0,0,1,32,100,32,0
-351.1607316,-4.426099953,0.01108464457,0,0,1,33,100,33,0
-351.1610795,-4.536260225,0.01230519455,0,0,1,34,100,34,0
-351.1614522,-4.645855549,0.01367238099,0,0,1,35,100,35,0
-351.1618508,-4.754928392,0.01519924703,0,0,1,36,100,36,0
-351.1622765,-4.863518283,0.0168993381,0,0,1,37,100,37,0
-351.1627304,-4.971661836,0.01878669524,0,0,1,38,100,38,0
-351.1632139,-5.079392762,0.020875848,0,0,1,39,100,39,0
-351.1637281,-5.186741883,0.02318180675,0,0,1,40,100,40,0
-351.1642743,-5.293737139,0.02572005437,0,0,1,41,100,41,0
-351.1648539,-5.400403589,0.02850653724,0,0,1,42,100,42,0
-351.1654683,-5.506763414,0.03155765546,0,0,1,43,100,43,0
-351.1661188,-5.612835914,0.03489025215,0,0,1,44,100,44,0
-351.1668069,-5.718637497,0.03852160187,0,0,1,45,100,45,0
-351.167534,-5.824181673,0.04246939799,0,0,1,46,100,46,0
-351.1683016,-5.929479039,0.04675173899,0,0,1,47,100,47,0
-351.1691112,-6.034537263,0.05138711355,0,0,1,48,100,48,0
-351.1699645,-6.139361065,0.0563943844,0,0,1,49,100,49,0
-351.1708629,-6.243952197,0.06179277085,0,0,1,50,100,50,0
-351.1718082,-6.34830942,0.06760182988,0,0,1,51,100,51,0
-351.172802,-6.452428477,0.07384143577,0,0,1,52,100,52,0
-351.173846,-6.556302065,0.08053175813,0,0,1,53,100,53,0
-351.1749419,-6.659919805,0.08769323834,0,0,1,54,100,54,0
-351.1760914,-6.763268217,0.0953465642,0,0,1,55,100,55,0
-351.1772964,-6.866330678,0.1035126429,0,0,1,56,100,56,0
-351.1785587,-6.969087396,0.1122125718,0,0,1,57,100,57,0
-351.1798801,-7.071515373,0.1214676081,0,0,1,58,100,58,0
-351.1812626,-7.173588368,0.1312991351,0,0,1,59,100,59,0
-351.1827079,-7.275276865,0.1417286281,0,0,1,60,100,60,0
-351.184218,-7.376548031,0.1527776164,0,0,1,61,100,61,0
-351.1857948,-7.477365684,0.1644676449,0,0,1,62,100,62,0
-351.1874404,-7.577690256,0.1768202319,0,0,1,63,100,63,0
-351.1891567,-7.677478753,0.1898568251,0,0,1,64,100,64,0
-351.1909456,-7.776684726,0.2035987563,0,0,1,65,100,65,0
-351.1928092,-7.875258228,0.2180671916,0,0,1,66,100,66,0
-351.1947495,-7.973145786,0.2332830811,0,0,1,67,100,67,0
-351.1967686,-8.070290366,0.2492671054,0,0,1,68,100,68,0
-351.1988683,-8.166631341,0.2660396188,0,0,1,69,100,69,0
-351.2010508,-8.262104462,0.2836205918,0,0,1,70,100,70,0
-351.2033181,-8.356641827,0.302029549,0,0,1,71,100,71,0
-351.2056721,-8.450171862,0.3212855063,0,0,1,72,100,72,0
-351.2081149,-8.54261929,0.3414069042,0,0,1,73,100,73,0
-351.2106484,-8.633905114,0.362411539,0,0,1,74,100,74,0
-351.2132745,-8.723946597,0.3843164924,0,0,1,75,100,75,0
-351.2159952,-8.812657249,0.4071380568,0,0,1,76,100,76,0
-351.2188123,-8.899946812,0.43089166,0,0,1,77,100,77,0
-351.2217278,-8.985721254,0.455591786,0,0,1,78,100,78,0
-351.2247433,-9.069882764,0.481251895,0,0,1,79,100,79,0
-351.2278606,-9.152329748,0.5078843397,0,0,1,80,100,80,0
-351.2310814,-9.232956835,0.5355002806,0,0,1,81,100,81,0
-351.2344072,-9.311654884,0.5641095982,0,0,1,82,100,82,0
-351.2378397,-9.388310992,0.5937208047,0,0,1,83,100,83,0
-351.2413802,-9.462808515,0.6243409526,0,0,1,84,100,84,0
-351.2450301,-9.535027084,0.6559755421,0,0,1,85,100,85,0
-351.2487907,-9.604842632,0.6886284275,0,0,1,86,100,86,0
-351.2526631,-9.672127426,0.7223017216,0,0,1,87,100,87,0
-351.2566483,-9.736750098,0.7569956999,0,0,1,88,100,88,0
-351.2607473,-9.798575687,0.7927087027,0,0,1,89,100,89,0
-351.2649607,-9.857465683,0.8294370383,0,0,1,90,100,90,0
-351.2692893,-9.913278075,0.867174884,0,0,1,91,100,91,0
-351.2737335,-9.965867409,0.9059141884,0,0,1,92,100,92,0
-351.2782937,-10.01508484,0.9456445737,0,0,1,93,100,93,0
-351.2829699,-10.06077821,0.9863532375,0,0,1,94,100,94,0
-351.2877621,-10.10279208,1.028024857,0,0,1,95,100,95,0
-351.2926701,-10.14096787,1.070641495,0,0,1,96,100,96,0
-351.2976934,-10.17514384,1.114182501,0,0,1,97,100,97,0
-351.3028315,-10.20515527,1.158624427,0,0,1,98,100,98,0
-351.3080834,-10.23083445,1.203940933,0,0,1,99,100,99,0
-351.313448,-10.25201085,1.250102703,0,0,1,100,100,100,0
-351.318924,-10.26851113,1.297077359,0,0,1,101,100,101,0
-351.3245098,-10.28015929,1.344829386,0,0,1,102,100,102,0
-351.3302036,-10.28677674,1.393320053,0,0,1,103,100,103,0
-351.3360033,-10.28818238,1.442507347,0,0,1,104,100,104,0
-351.3419064,-10.28419269,1.492345901,0,0,1,105,100,105,0
-351.3479104,-10.27462186,1.542786944,0,0,1,106,100,106,0
-351.3540122,-10.25928184,1.593778239,0,0,1,107,100,107,0
-351.3602085,-10.23798243,1.645264045,0,0,1,108,100,108,0
-351.3664959,-10.2105314,1.697185074,0,0,1,109,100,109,0
-351.3728705,-10.17673452,1.74947846,0,0,1,110,100,110,0
-351.379328,-10.13639568,1.802077742,0,0,1,111,100,111,0
-351.385864,-10.08931693,1.854912848,0,0,1,112,100,112,0
-351.3924736,-10.03529856,1.907910094,0,0,1,113,100,113,0
-351.3991517,-9.974139151,1.960992191,0,0,1,114,100,114,0
-351.4058929,-9.905635611,2.014078266,0,0,1,115,100,115,0
-351.4126912,-9.829583218,2.067083893,0,0,1,116,100,116,0
-351.4195405,-9.745775644,2.119921135,0,0,1,117,100,117,0
-351.4264344,-9.65400496,2.172498604,0,0,1,118,100,118,0
-351.4333661,-9.554061637,2.224721526,0,0,1,119,100,119,0
-351.4403285,-9.445734526,2.276491831,0,0,1,120,100,120,0
-351.4473141,-9.328810821,2.327708251,0,0,1,121,100,121,0
-351.4543152,-9.20307601,2.378266432,0,0,1,122,100,122,0
-351.4613238,-9.068313802,2.428059069,0,0,1,123,100,123,0
-351.4683314,-8.924306037,2.476976054,0,0,1,124,100,124,0
-351.4753295,-8.770832576,2.524904637,0,0,1,125,100,125,0
-351.4823092,-8.607671169,2.571729615,0,0,1,126,100,126,0
-351.4892613,-8.4345973,2.61733353,0,0,1,127,100,127,0
-351.4961765,-8.251384011,2.661596889,0,0,1,128,100,128,0
-351.503045,-8.057801703,2.704398407,0,0,1,129,100,129,0
-351.509857,-7.853617915,2.745615264,0,0,1,130,100,130,0
-351.5166025,-7.638597072,2.785123389,0,0,1,131,100,131,0
-351.5232713,-7.412500226,2.822797757,0,0,1,132,100,132,0
-351.529853,-7.175084754,2.858512715,0,0,1,133,100,133,0
-351.5363372,-6.926104052,2.892142324,0,0,1,134,100,134,0
-351.5427132,-6.665307199,2.923560728,0,0,1,135,100,135,0
-351.5489705,-6.392438604,2.952642541,0,0,1,136,100,136,0
-351.5550982,-6.107237637,2.979263257,0,0,1,137,100,137,0
-351.5610857,-5.80943824,3.003299685,0,0,1,138,100,138,0
-351.5669224,-5.498768537,3.024630407,0,0,1,139,100,139,0
-351.5725974,-5.174950422,3.043136255,0,0,1,140,100,140,0
-351.5781003,-4.837699152,3.058700816,0,0,1,141,100,141,0
-351.5834207,-4.486722933,3.071210957,0,0,1,142,100,142,0
-351.5885481,-4.121722517,3.08055737,0,0,1,143,100,143,0
-351.5934726,-3.742390805,3.086635146,0,0,1,144,100,144,0
-351.5981842,-3.34841247,3.089344364,0,0,1,145,100,145,0
-351.6026734,-2.939463599,3.088590709,0,0,1,146,100,146,0
-351.6069308,-2.515211375,3.084286096,0,0,1,147,100,147,0
-351.6109476,-2.075313797,3.076349335,0,0,1,148,100,148,0
-351.614715,-1.619419446,3.064706791,0,0,1,149,100,149,0
-351.6182251,-1.147167322,3.049293078,0,0,1,150,100,150,0
-351.6214702,-0.6581867426,3.030051762,0,0,1,151,100,151,0
-351.6244431,-0.1520973363,3.006936073,0,0,1,152,100,152,0
-351.6271372,0.3714908738,2.979909634,0,0,1,153,100,153,0
-351.6295467,0.9129772716,2.948947195,0,0,1,154,100,154,0
-351.6316662,1.472770325,2.914035369,0,0,1,155,100,155,0
-351.6334911,2.051287122,2.875173376,0,0,1,156,100,156,0
-351.6350174,2.64895275,2.832373775,0,0,1,157,100,157,0
-351.636242,3.266199504,2.785663197,0,0,1,158,100,158,0
-351.6371627,3.903465903,2.735083053,0,0,1,159,100,159,0
-351.6377779,4.561195505,2.68069024,0,0,1,160,100,160,0
-351.638087,5.239835499,2.622557801,0,0,1,161,100,161,0
-351.6380904,5.939835051,2.560775567,0,0,1,162,100,162,0
-351.6377894,6.661643412,2.495450751,0,0,1,163,100,163,0
-351.6371863,7.405707737,2.426708495,0,0,1,164,100,164,0
-351.6362843,8.17247064,2.354692351,0,0,1,165,100,165,0
-351.6350878,8.962367437,2.279564697,0,0,1,166,100,166,0
-351.6336022,9.775823095,2.20150707,0,0,1,167,100,167,0
-351.6318339,10.61324886,2.120720403,0,0,1,168,100,168,0
-351.6297906,11.47503858,2.037425157,0,0,1,169,100,169,0
-351.6274809,12.36156465,1.951861325,0,0,1,170,100,170,0
-351.6249147,13.27317377,1.864288313,0,0,1,171,100,171,0
-351.6221028,14.21018219,1.774984654,0,0,1,172,100,172,0
-351.6190573,15.17287087,1.684247572,0,0,1,173,100,173,0
-351.6157912,16.16148019,1.592392348,0,0,1,174,100,174,0
-351.6123189,17.17620447,1.499751496,0,0,1,175,100,175,0
-351.6086554,18.21718627,1.406673722,0,0,1,176,100,176,0
-351.604817,19.28451047,1.313522644,0,0,1,177,100,177,0
-351.600821,20.37819822,1.220675273,0,0,1,178,100,178,0
-351.5966854,21.49820078,1.128520224,0,0,1,179,100,179,0
-351.5924291,22.64439337,1.037455648,0,0,1,180,100,180,0
-351.5880718,23.81656904,0.9478868748,0,0,1,181,100,181,0
-351.5836339,25.01443268,0.8602237489,0,0,1,182,100,182,0
-351.5791363,26.23759525,0.7748776533,0,0,1,183,100,183,0
-351.5746004,27.48556836,0.6922582087,0,0,1,184,100,184,0
-351.570048,28.75775928,0.6127696452,0,0,1,185,100,185,0
-351.5655009,30.0534665,0.5368068438,0,0,1,186,100,186,0
-351.560981,31.37187608,0.4647510464,0,0,1,187,100,187,0
-351.5565103,32.7120587,0.3969652402,0,0,1,188,100,188,0
-351.5521104,34.0729679,0.3337892218,0,0,1,189,100,189,0
-351.5478022,35.45343929,0.2755343538,0,0,1,190,100,190,0
-351.5436061,36.85219125,0.2224780285,0,0,1,191,100,191,0
-351.5395419,38.26782701,0.1748578566,0,0,1,192,100,192,0
-351.5356278,39.69883852,0.1328656063,0,0,1,193,100,193,0
-351.5318811,41.14361204,0.09664091657,0,0,1,194,100,194,0
-351.5283174,42.60043588,0.0662648166,0,0,1,195,100,195,0
-351.5249506,44.06751033,0.04175308076,0,0,1,196,100,196,0
-351.5217926,45.54295992,0.02304946846,0,0,1,197,100,197,0
-351.5188532,47.02484828,0.01001882889,0,0,1,198,100,198,0
-351.5161394,48.51119577,0.002440323736,0,0,1,199,100,199,0
-351.5136566,50,0,0,0,1,200,100,200,0
